,Customer Id,YearOfObservation,Insured_Period,Residential,Building_Painted,Building_Fenced,Garden,Settlement,Building Dimension,Building_Type,Date_of_Occupancy,NumberOfWindows,Geo_Code,Claim
1422,H2120,2014,0.0,0,Not Painted,Not Fenced,Has garden,urban area,600,2,1980,   ,13209,0.0
1165,H2121,2013,1.0,0,Not Painted,Fenced,no garden,rural area,630,2,1900,5,13205,0.0
1263,H2122,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,640,2,1960,   ,13206,0.0
815,H2123,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,500,1,1980,   ,13021,0.0
3385,H2124,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,200,3,1960,   ,54395,0.0
601,H2127,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1000,1,1960,   ,7281,0.0
602,H2128,2016,0.99726776,0,Not Painted,Not Fenced,Has garden,urban area,1000,1,1960,   ,7281,0.0
1907,H2129,2013,1.0,0,Not Painted,Fenced,no garden,rural area,11958,2,1960,4,26362,0.0
1908,H2130,2015,1.0,0,Not Painted,Fenced,no garden,rural area,11958,2,1960,4,26362,1.0
3106,H2136,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,4943,2,1980,   ,42218,1.0
3107,H2137,2015,1.0,0,Not Painted,Not Fenced,Has garden,urban area,4943,2,1980,   ,42218,0.0
6172,H2139,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,250,1,1980,   ,91223,0.0
2193,H2140,2013,1.0,0,Painted,Not Fenced,Has garden,urban area,134,2,1960,   ,31555,0.0
2194,H2141,2015,1.0,0,Painted,Not Fenced,Has garden,urban area,134,2,1960,   ,31555,1.0
2830,H2142,2016,1.0,0,Not Painted,Fenced,no garden,rural area,2260,2,1970,3,38185,0.0
7143,H2143,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,0,2,1910,   ,,0.0
422,H2144,2013,1.0,0,Not Painted,Fenced,no garden,rural area,1500,4,1975,6,6088,0.0
1540,H215,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1837,2,1980,   ,14118,0.0
5773,H2150,2015,1.0,0,Not Painted,Fenced,no garden,rural area,580,2,1936,3,83118,0.0
1580,H2151,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1600,2,1980,   ,14327,0.0
1581,H2152,2016,0.99726776,0,Not Painted,Not Fenced,Has garden,urban area,1600,2,1980,   ,14327,0.0
4564,H2154,2016,0.99726776,0,Not Painted,Not Fenced,Has garden,urban area,2140,1,1980,   ,73004,1.0
2786,H2155,2014,1.0,0,Not Painted,Fenced,no garden,rural area,730,2,1960,4,38169,0.0
2787,H2156,2016,1.0,0,Not Painted,Fenced,no garden,rural area,730,2,1960,4,38169,0.0
423,H2157,2012,1.0,1,Not Painted,Not Fenced,Has garden,urban area,1800,4,1960,   ,6088,0.0
424,H2158,2014,1.0,1,Not Painted,Not Fenced,Has garden,urban area,1800,4,1960,   ,6088,0.0
1541,H216,2016,0.99726776,0,Not Painted,Not Fenced,Has garden,urban area,1837,2,1980,   ,14118,0.0
4475,H2160,2012,1.0,0,Not Painted,Fenced,no garden,rural area,3100,2,1980,5,69189,0.0
4369,H2162,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,460,2,1980,   ,68118,0.0
1542,H2163,2015,1.0,0,Not Painted,Not Fenced,Has garden,urban area,3806,2,1960,   ,14118,1.0
2514,H2164,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,2100,2,1960,   ,34172,1.0
6036,H2166,2015,0.0,0,Not Painted,Not Fenced,Has garden,urban area,707,1,0,   ,87106,0.0
2515,H2167,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,530,2,1960,   ,34172,0.0
3492,H2169,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1510,2,1960,   ,57463,0.0
966,H217,2013,0.846575342,0,Not Painted,Fenced,no garden,rural area,500,2,1940,4,13201,0.0
425,H2177,2012,1.0,1,Not Painted,Not Fenced,Has garden,urban area,5385,4,1980,   ,6088,1.0
2516,H2179,2016,1.0,0,Not Painted,Fenced,no garden,rural area,2476,2,1988,4,34172,0.0
5326,H2181,2014,1.0,0,Not Painted,Fenced,no garden,rural area,750,2,1850,5,76351,0.0
4588,H2185,2016,1.0,0,Painted,Not Fenced,Has garden,urban area,2075,1,1988,   ,73065,0.0
4619,H2186,2016,1.0,0,Not Painted,Not Fenced,Has garden,urban area,4903,1,1980,   ,73179,0.0
2831,H2187,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,570,3,1980,   ,38185,0.0
2832,H2188,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,570,3,1980,   ,38185,0.0
5706,H2191,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,560,2,1980,   ,83069,0.0
5707,H2192,2015,0.98630137,0,Not Painted,Not Fenced,Has garden,urban area,560,2,1980,   ,83069,0.0
175,H2198,2012,1.0,1,Not Painted,Not Fenced,Has garden,urban area,400,4,1980,   ,6029,0.0
1264,H2203,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1192,2,1960,   ,13206,0.0
2332,H2204,2012,1.0,1,Not Painted,Not Fenced,Has garden,urban area,520,1,1960,   ,33063,0.0
2333,H2205,2013,1.0,1,Not Painted,Not Fenced,Has garden,urban area,520,1,1960,   ,33063,0.0
2334,H2206,2015,1.0,1,Not Painted,Not Fenced,Has garden,urban area,520,1,1960,   ,33063,0.0
577,H2209,2012,1.0,1,Not Painted,Not Fenced,Has garden,urban area,2186,4,1980,   ,6159,1.0
578,H2210,2016,0.99726776,1,Not Painted,Not Fenced,Has garden,urban area,2186,4,1980,   ,6159,0.0
1103,H2211,2013,0.0,0,Not Painted,Not Fenced,Has garden,urban area,335,2,0,   ,13204,0.0
2517,H2214,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1140,2,1960,   ,34172,0.0
2518,H2215,2014,1.0,0,Not Painted,Fenced,no garden,rural area,1000,2,1930,3,34172,1.0
1598,H222,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1879,2,1980,   ,14488,0.0
1909,H2221,2013,1.0,0,Not Painted,Fenced,no garden,rural area,714,2,1900,4,26362,0.0
1910,H2222,2016,1.0,0,Not Painted,Fenced,no garden,rural area,714,2,1900,4,26362,1.0
4388,H2224,2014,1.0,0,Painted,Not Fenced,Has garden,urban area,1314,2,0,   ,68224,0.0
4407,H2225,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,746,2,1980,   ,68271,0.0
2677,H2226,2012,1.0,0,Not Painted,Fenced,no garden,rural area,4800,1,1950,7,35288,1.0
2678,H2227,2014,1.0,0,Not Painted,Fenced,no garden,rural area,4800,1,1950,7,35288,0.0
1543,H2228,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,620,2,1960,   ,14118,0.0
1965,H2229,2014,0.495890411,0,Not Painted,Not Fenced,Has garden,urban area,1500,1,1980,   ,28088,0.0
1599,H223,2015,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1879,2,1980,   ,14488,0.0
3457,H2234,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,950,2,0,   ,57143,0.0
1265,H2238,2013,0.35890411,0,Not Painted,Not Fenced,Has garden,urban area,340,2,1960,   ,13206,0.0
7144,H2240,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,0,2,1985,   ,,0.0
7145,H2241,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,0,2,1985,   ,,1.0
426,H2242,2015,0.0,1,Not Painted,Not Fenced,Has garden,urban area,3482,4,0,   ,6088,0.0
1977,H2243,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,400,2,1980,   ,29019,0.0
4658,H2248,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,800,1,0,   ,74010,0.0
1544,H225,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,2897,2,1980,   ,14118,1.0
5597,H2250,2012,1.0,0,Not Painted,Fenced,no garden,rural area,560,2,1950,2,82121,1.0
2519,H2253,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,2725,2,1980,   ,34172,0.0
2520,H2255,2013,1.0,0,Not Painted,Fenced,no garden,rural area,1700,2,1970,4,34172,0.0
2521,H2256,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,420,2,1960,   ,34172,0.0
3856,H2259,2015,1.0,0,Not Painted,Fenced,no garden,rural area,4955,2,1985,3,63113,0.0
1545,H226,2016,0.99726776,0,Not Painted,Not Fenced,Has garden,urban area,2897,2,1980,   ,14118,1.0
3857,H2260,2016,0.99726776,0,Not Painted,Fenced,no garden,rural area,4955,2,1985,3,63113,0.0
3311,H2272,2014,0.221917808,1,Not Painted,Not Fenced,Has garden,urban area,459,2,1960,   ,51454,0.0
4301,H2274,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,550,2,0,   ,67447,0.0
4302,H2275,2016,0.99726776,0,Not Painted,Not Fenced,Has garden,urban area,550,2,0,   ,67447,1.0
4290,H2276,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,3489,2,0,   ,67218,0.0
3817,H2279,2014,1.0,0,Not Painted,Fenced,no garden,rural area,600,1,1990,3,63075,0.0
1785,H2280,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,300,2,1960,   ,21231,1.0
3791,H2282,2014,0.471232877,0,Not Painted,Not Fenced,Has garden,urban area,465,2,1980,   ,62917,0.0
4190,H2284,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,280,2,1960,   ,66037,0.0
4191,H2285,2015,1.0,0,Not Painted,Not Fenced,Has garden,urban area,280,2,1960,   ,66037,0.0
4192,H2286,2016,0.99726776,0,Not Painted,Not Fenced,Has garden,urban area,280,2,1960,   ,66037,1.0
3699,H2288,2016,0.99726776,0,Not Painted,Fenced,no garden,rural area,1140,2,1900,4,62160,1.0
3108,H229,2013,1.0,0,Not Painted,Fenced,no garden,rural area,650,2,1956,4,42218,0.0
6020,H2290,2012,0.0,0,Not Painted,Not Fenced,Has garden,urban area,1740,1,0,   ,87085,0.0
1266,H2292,2013,0.915068493,0,Not Painted,Fenced,no garden,rural area,500,2,1900,5,13206,0.0
1521,H2293,2016,0.99726776,0,Not Painted,Not Fenced,Has garden,urban area,540,2,1960,   ,13216,0.0
427,H2295,2013,1.0,1,Not Painted,Not Fenced,Has garden,urban area,1572,4,1980,   ,6088,0.0
3064,H2296,2016,1.0,0,Not Painted,Fenced,no garden,rural area,1366,1,1963,5,42207,0.0
1876,H23,2013,1.0,0,Not Painted,Fenced,no garden,rural area,1300,2,1960,5,26058,0.0
3109,H230,2015,1.0,0,Not Painted,Fenced,no garden,rural area,650,2,1956,4,42218,0.0
1891,H2301,2015,0.493150685,0,Not Painted,Not Fenced,Has garden,urban area,7900,2,1960,   ,26198,0.0
4172,H2303,2013,0.0,0,Not Painted,Not Fenced,Has garden,urban area,300,4,0,   ,65440,0.0
4173,H2304,2015,0.0,0,Not Painted,Not Fenced,Has garden,urban area,300,4,0,   ,65440,0.0
4174,H2305,2016,0.0,0,Not Painted,Not Fenced,Has garden,urban area,300,4,0,   ,65440,0.0
3203,H2309,2015,1.0,0,Not Painted,Not Fenced,Has garden,urban area,5000,2,1960,   ,44109,0.0
940,H2311,2012,0.99726776,0,Not Painted,Fenced,no garden,rural area,5160,1,1940,4,13119,0.0
4620,H2313,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,4903,1,1980,   ,73179,0.0
3925,H2316,2012,1.0,0,Not Painted,Fenced,no garden,rural area,1389,1,1987,3,63300,0.0
1845,H2317,2014,1.0,0,Not Painted,Fenced,no garden,rural area,3600,1,1973,7,22282,0.0
5438,H232,2016,1.0,0,Not Painted,Not Fenced,Has garden,urban area,800,2,1960,   ,77379,0.0
2031,H2322,2015,1.0,0,Not Painted,Fenced,no garden,rural area,1365,2,1950,3,30007,0.0
2679,H2324,2014,1.0,0,Not Painted,Fenced,no garden,rural area,2700,1,1980,5,35288,0.0
2680,H2325,2015,1.0,0,Not Painted,Fenced,no garden,rural area,2700,1,1980,5,35288,0.0
2681,H2326,2012,0.0,0,Not Painted,Not Fenced,Has garden,urban area,571,1,0,   ,35288,0.0
2682,H2327,2013,1.0,0,Not Painted,Fenced,no garden,rural area,9125,1,1980,7,35288,1.0
3248,H2328,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,500,1,1960,   ,46042,0.0
3249,H2329,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,500,1,1960,   ,46042,0.0
1546,H233,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,2561,2,1980,   ,14118,0.0
5472,H2331,2013,1.0,0,Not Painted,Fenced,no garden,rural area,260,2,1901,3,78172,0.0
1020,H2335,2014,1.0,0,Painted,Not Fenced,Has garden,urban area,610,2,1960,   ,13202,1.0
2937,H2338,2016,1.0,0,Not Painted,Not Fenced,Has garden,urban area,450,2,1960,   ,38544,1.0
1547,H234,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,2561,2,1980,   ,14118,0.0
3270,H2341,2012,1.0,0,Not Painted,Fenced,no garden,rural area,800,1,1960,3,49007,0.0
3858,H2343,2013,1.0,0,Not Painted,Fenced,no garden,rural area,1210,1,1970,3,63113,1.0
6046,H2346,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,539,1,1960,   ,88160,1.0
1548,H235,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1726,2,1980,   ,14118,0.0
5955,H2354,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,460,1,1980,   ,85060,0.0
3434,H2355,2012,1.0,1,Not Painted,Not Fenced,Has garden,urban area,920,2,1980,   ,56078,1.0
2745,H2359,2015,1.0,0,Not Painted,Fenced,no garden,rural area,1930,2,1980,4,38057,0.0
3859,H2362,2012,1.0,0,Not Painted,Fenced,no garden,rural area,1300,2,2000,4,63113,0.0
4565,H2363,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1016,1,1980,   ,73006,0.0
1911,H2364,2016,0.99726776,0,Not Painted,Not Fenced,Has garden,urban area,1087,2,1960,   ,26362,0.0
5779,H2365,2013,1.0,0,Not Painted,Fenced,no garden,rural area,915,2,1988,2,83119,0.0
5780,H2366,2014,1.0,0,Not Painted,Fenced,no garden,rural area,915,2,1988,2,83119,1.0
3420,H2369,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1400,1,1960,   ,54482,0.0
3421,H2370,2015,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1400,1,1960,   ,54482,0.0
3424,H2371,2013,0.580821918,0,Not Painted,Not Fenced,Has garden,urban area,350,1,1960,   ,54547,0.0
930,H2374,2015,1.0,0,Not Painted,Not Fenced,Has garden,urban area,432,1,0,   ,13117,0.0
931,H2375,2016,0.99726776,0,Not Painted,Not Fenced,Has garden,urban area,432,1,0,   ,13117,0.0
932,H2376,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,250,1,1980,   ,13117,0.0
933,H2377,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,250,1,1980,   ,13117,0.0
934,H2378,2015,1.0,0,Not Painted,Not Fenced,Has garden,urban area,250,1,1980,   ,13117,0.0
935,H2379,2016,0.99726776,0,Not Painted,Not Fenced,Has garden,urban area,250,1,1980,   ,13117,0.0
5371,H238,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,236,2,1960,   ,77152,0.0
5781,H2380,2014,1.0,0,Not Painted,Fenced,no garden,rural area,600,2,1988,2,83119,1.0
1786,H2381,2013,1.0,0,Not Painted,Fenced,no garden,rural area,452,2,1960,4,21231,0.0
2522,H2383,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,800,2,1980,   ,34172,0.0
4335,H2389,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1830,3,0,   ,67482,0.0
5372,H239,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,236,2,1960,   ,77152,0.0
1866,H2390,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,437,2,1960,   ,25388,0.0
3595,H2392,2012,0.0,0,Not Painted,Not Fenced,Has garden,urban area,190,3,0,   ,59350,0.0
3596,H2393,2016,0.0,0,Not Painted,Not Fenced,Has garden,urban area,190,3,0,   ,59350,0.0
1267,H2394,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1950,2,1960,   ,13206,0.0
6173,H2396,2016,0.0,0,Not Painted,Not Fenced,Has garden,urban area,754,1,0,   ,91223,0.0
1335,H2398,2013,1.0,0,Not Painted,Fenced,no garden,rural area,516,2,1900,5,13207,0.0
4077,H2399,2012,1.0,0,Not Painted,Fenced,no garden,rural area,1610,3,1973,7,64445,1.0
2858,H24,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,4220,2,1960,   ,38229,1.0
5373,H240,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,236,2,1960,   ,77152,0.0
4078,H2400,2015,1.0,0,Not Painted,Fenced,no garden,rural area,1610,3,1973,7,64445,1.0
2977,H2401,2016,0.99726776,0,Not Painted,Not Fenced,Has garden,urban area,1210,2,1960,   ,38931,0.0
2978,H2402,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,550,2,1988,   ,38931,0.0
2979,H2403,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,550,2,1988,   ,38931,0.0
1423,H2406,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1222,2,1960,   ,13209,0.0
1549,H241,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1870,2,1980,   ,14118,0.0
4053,H2411,2014,1.0,0,Not Painted,Fenced,no garden,rural area,1200,2,1900,5,64422,1.0
807,H2412,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,743,1,1960,   ,13005,0.0
808,H2413,2013,0.917808219,0,Not Painted,Not Fenced,Has garden,urban area,743,1,1960,   ,13005,0.0
2940,H2415,2012,1.0,0,Not Painted,Fenced,no garden,rural area,3900,2,1945,3,38547,0.0
68,H2417,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,470,1,1960,   ,5061,0.0
90,H2418,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1024,1,1960,   ,5168,0.0
1550,H242,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1726,2,1980,   ,14118,1.0
1981,H2421,2014,1.0,0,Not Painted,Fenced,no garden,rural area,5885,2,1970,6,29039,1.0
1982,H2422,2016,1.0,0,Not Painted,Fenced,no garden,rural area,5885,2,1970,6,29039,0.0
3767,H2423,2012,1.0,0,Not Painted,Fenced,no garden,rural area,600,2,1960,4,62826,0.0
3795,H2427,2012,1.0,0,Not Painted,Fenced,no garden,rural area,400,1,1980,3,63014,0.0
3796,H2428,2016,0.99726776,0,Not Painted,Fenced,no garden,rural area,400,1,1980,3,63014,0.0
1551,H243,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1726,2,1980,   ,14118,0.0
4589,H2431,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,450,1,1960,   ,73065,0.0
967,H2435,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,400,2,1980,   ,13201,0.0
968,H2436,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,400,2,1980,   ,13201,0.0
712,H2443,2015,0.953424658,0,Not Painted,Not Fenced,Has garden,urban area,150,1,1960,   ,12208,0.0
3386,H2444,2012,0.844262295,0,Not Painted,Not Fenced,Has garden,urban area,850,3,0,   ,54395,1.0
1998,H2447,2016,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1390,2,1980,   ,29185,0.0
428,H2451,2012,0.0,0,Not Painted,Not Fenced,Has garden,urban area,200,4,0,   ,6088,0.0
4621,H2454,2013,0.0,0,Not Painted,Not Fenced,Has garden,urban area,369,1,1980,   ,73179,0.0
4622,H2455,2013,0.0,0,Not Painted,Not Fenced,Has garden,urban area,323,1,1980,   ,73179,0.0
2556,H2457,2013,1.0,0,Not Painted,Fenced,no garden,rural area,1148,2,1989,1,34192,1.0
1166,H2458,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,450,2,1960,   ,13205,0.0
176,H2459,2014,0.0,0,Not Painted,Not Fenced,Has garden,urban area,1000,4,0,   ,6029,1.0
1600,H2467,2013,0.161643836,0,Not Painted,Not Fenced,Has garden,urban area,1235,2,1980,   ,14488,0.0
1601,H2468,2014,0.495890411,0,Not Painted,Fenced,no garden,rural area,3000,2,1980,4,14488,0.0
1602,H2469,2014,1.0,0,Not Painted,Fenced,no garden,rural area,1330,2,1988,3,14488,0.0
1552,H2470,2015,1.0,0,Not Painted,Not Fenced,Has garden,urban area,200,2,1980,   ,14118,0.0
2767,H2472,2013,0.747945205,0,Not Painted,Fenced,no garden,rural area,4393,2,2000,4,38140,0.0
3786,H2478,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,965,2,1988,   ,62899,0.0
3787,H2479,2016,0.99726776,0,Not Painted,Not Fenced,Has garden,urban area,965,2,1988,   ,62899,0.0
2980,H248,2012,0.0,0,Not Painted,Not Fenced,Has garden,urban area,10000,2,0,   ,38931,1.0
3740,H2480,2013,0.0,0,Not Painted,Not Fenced,Has garden,urban area,1750,2,0,   ,62498,0.0
1999,H2483,2012,0.0,0,Not Painted,Not Fenced,Has garden,urban area,1340,2,0,   ,29232,0.0
2000,H2484,2015,0.0,0,Not Painted,Not Fenced,Has garden,urban area,1340,2,0,   ,29232,0.0
3860,H2488,2012,1.0,0,Not Painted,Fenced,no garden,rural area,650,2,1900,6,63113,0.0
3493,H2489,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1000,2,1960,   ,57463,1.0
1553,H249,2013,0.367123288,0,Not Painted,Not Fenced,Has garden,urban area,5080,2,1980,   ,14118,0.0
1021,H2490,2013,1.0,0,Not Painted,Fenced,no garden,rural area,1427,2,1940,6,13202,1.0
1022,H2492,2015,1.0,0,Not Painted,Not Fenced,Has garden,urban area,950,2,1960,   ,13202,0.0
1268,H2494,2014,1.0,0,Painted,Not Fenced,Has garden,urban area,550,2,1960,   ,13206,0.0
1424,H2495,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,6766,2,1960,   ,13209,1.0
429,H2499,2015,0.0,0,Not Painted,Not Fenced,Has garden,urban area,600,4,0,   ,6088,0.0
5374,H250,2013,1.0,0,Not Painted,Fenced,no garden,rural area,440,2,1960,3,77152,0.0
1641,H2500,2012,1.0,1,Not Painted,Not Fenced,Has garden,urban area,2800,1,1960,   ,16015,0.0
2833,H2504,2013,0.81369863,0,Not Painted,Not Fenced,Has garden,urban area,5050,3,1980,   ,38185,1.0
91,H2507,2015,1.0,0,Not Painted,Fenced,no garden,rural area,1440,1,1985,5,5177,0.0
5598,H2512,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,700,2,1980,   ,82121,0.0
3494,H2514,2016,0.99726776,0,Not Painted,Fenced,no garden,rural area,480,2,1989,2,57463,0.0
6794,H2516,2015,1.0,0,Not Painted,Not Fenced,Has garden,urban area,300,3,1960,   ,94058,0.0
3660,H252,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,2800,1,1980,   ,61006,0.0
3387,H2522,2013,1.0,0,Not Painted,Fenced,no garden,rural area,996,3,1900,4,54395,1.0
3388,H2524,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,450,3,1960,   ,54395,0.0
3389,H2525,2014,1.0,0,Not Painted,Fenced,no garden,rural area,950,3,1850,5,54395,0.0
549,H2526,2012,1.0,0,Not Painted,Fenced,no garden,rural area,625,4,1968,3,6138,0.0
2683,H2528,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1850,1,1960,   ,35288,0.0
2684,H2529,2016,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1850,1,1960,   ,35288,1.0
3135,H2536,2012,0.74863388,0,Not Painted,Not Fenced,Has garden,urban area,600,1,1960,   ,42275,0.0
1702,H2537,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,808,1,1988,   ,19031,0.0
3511,H2539,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,900,2,0,   ,57672,0.0
3861,H254,2013,0.0,0,Not Painted,Not Fenced,Has garden,urban area,0,2,0,   ,63113,0.0
3512,H2540,2014,0.832876712,0,Not Painted,Not Fenced,Has garden,urban area,900,2,0,   ,57672,0.0
430,H2547,2014,0.0,1,Not Painted,Not Fenced,Has garden,urban area,400,4,0,   ,6088,0.0
4824,H2550,2014,1.0,0,Not Painted,Fenced,no garden,rural area,600,1,1947,3,74236,0.0
4825,H2551,2016,1.0,0,Not Painted,Fenced,no garden,rural area,600,1,1947,3,74236,0.0
4784,H2552,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,360,1,0,   ,74173,0.0
4785,H2553,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,360,1,0,   ,74173,0.0
1336,H2556,2015,1.0,0,Painted,Not Fenced,Has garden,urban area,1600,2,1960,   ,13207,0.0
1104,H2559,2013,1.0,0,Painted,Not Fenced,Has garden,urban area,610,2,1960,   ,13204,0.0
1056,H2560,2015,1.0,0,Painted,Not Fenced,Has garden,urban area,720,2,1960,   ,13203,0.0
1057,H2561,2016,1.0,0,Painted,Not Fenced,Has garden,urban area,720,2,1960,   ,13203,0.0
1269,H2562,2014,0.410958904,0,Painted,Not Fenced,Has garden,urban area,1100,2,1960,   ,13206,0.0
2025,H2563,2013,0.539726027,0,Not Painted,Not Fenced,Has garden,urban area,867,2,1980,   ,29233,0.0
3862,H2566,2013,1.0,0,Not Painted,Fenced,no garden,rural area,2050,2,1970,5,63113,0.0
3863,H2568,2016,0.99726776,0,Not Painted,Fenced,no garden,rural area,2650,2,1960,5,63113,0.0
3818,H2569,2013,0.665753425,0,Not Painted,Not Fenced,Has garden,urban area,4070,1,1980,   ,63075,0.0
3802,H2570,2012,1.0,0,Not Painted,Fenced,no garden,rural area,600,1,1990,4,63032,0.0
3803,H2571,2016,0.99726776,0,Not Painted,Fenced,no garden,rural area,600,1,1990,4,63032,0.0
1603,H2577,2012,1.0,0,Not Painted,Fenced,no garden,rural area,870,2,1976,4,14488,0.0
597,H2584,2013,1.0,0,Not Painted,Fenced,no garden,rural area,2457,1,1981,6,7186,0.0
598,H2585,2014,1.0,0,Not Painted,Fenced,no garden,rural area,2457,1,1981,6,7186,0.0
69,H2586,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,2400,1,1980,   ,5061,0.0
3864,H259,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,3950,1,1980,   ,63113,1.0
92,H2593,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,300,1,1980,   ,5177,0.0
5867,H2595,2013,0.161643836,0,Not Painted,Not Fenced,Has garden,urban area,344,2,1960,   ,83137,0.0
2945,H2599,2015,1.0,0,Not Painted,Fenced,no garden,rural area,1510,2,1987,4,38559,0.0
3865,H2600,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,800,2,1980,   ,63113,0.0
579,H2603,2014,1.0,1,Not Painted,Fenced,no garden,rural area,7186,4,1970,6,6159,1.0
431,H2604,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,700,4,1960,   ,6088,0.0
706,H2609,2013,0.416438356,0,Not Painted,Not Fenced,Has garden,urban area,770,1,1980,   ,12202,0.0
6104,H2610,2012,0.0,0,Not Painted,Not Fenced,Has garden,urban area,900,1,0,   ,91016,0.0
6105,H2611,2013,0.0,0,Not Painted,Not Fenced,Has garden,urban area,900,1,0,   ,91016,1.0
5288,H2612,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,150,2,1960,   ,76217,1.0
6861,H2613,2015,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1384,3,1960,   ,94068,1.0
